filename,hash,domain,tool,resource_type,confidence,reason,primary_owner,secondary_topics,duplicate_status,version
linux_kernel_storage_reference.pdf,66c3fd1f6f21b4d98009fdc2317b793f4cf003e96fddddcff6c46b1d5c7b39bf,Linux SysAdmin,Linux,Technical Manual,0.99,"Contains strict Linux kernel, filesystem hierarchy (FHS), systemd, block devices, and process control; no Ansible or Terraform content.",DevOps Systems Engineering,Kernel Parameters; Sysctl; LVM; Ext4; XFS; Systemd; POSIX ACLs,Original,1.0.0
linux_networking_firewalls.pdf,125d9cd9f313d9d864d01bddb794bc6dd4a9745fe5216ebc5e176c4738c4969e,Networking & Security,Linux,Security Guide,0.98,"Dedicated to iptables, nftables, eBPF, iproute2, ss, tcpdump, and hardened SSH tunnels.",Security Engineering,Firewalls; Network Namespaces; WireGuard; TLS 1.3,Original,1.0.0
git_advanced_collaboration.pdf,0dd97724a8d5a1c13b0b8965eeacfbc5de6ea272969dcd63ae2314329dc04326,Version Control,Git,Workflow Handbook,0.99,"Focuses strictly on Git plumbing, porcelain, rebase, interactive rebasing, bisect, worktrees, and branching models; does not mix Jenkins or external CI pipelines.",Build & Release Engineering,Git Hooks; Reflog; Merge Strategies; GPG Signing,Original,1.0.0
bash_defensive_automation.pdf,dfd286011f247b776685b664f001fe7e067856172489eaf94c6c1c74a90af334,Automation,Bash,Scripting Guide,0.97,"Strict focus on defensive shell scripting (set -euo pipefail), trap handlers, POSIX compliance, and ShellCheck verification.",DevOps Automation Team,Error Trapping; Log Formatting; File Descriptors; Subshells,Original,1.0.0
python_sre_automation.pdf,7845daeeb54186cfcfe7e5f3fc161b721fa3d610ff8d9f40b8d0dbd8fbf4c42d,Automation & SRE,Python,Cookbook,0.98,"Focuses on Python standard library automation, socket programming, boto3, requests, telemetry collection, and log analysis.",Site Reliability Engineering,CLI Tools; Exception Handling; AsyncIO; Metric Scrapers,Original,1.0.0
docker_container_internals.pdf,182e39480e1294981b11e5d99e6ec245fe463753e2fcb3ffe542a8620553d359,Containerization,Docker,Architecture Guide,0.99,"Dedicated to Dockerfiles, multi-stage builds, rootless daemon, cgroups v2, namespaces, and Docker Compose v2; isolated from Kubernetes manifests.",Platform Engineering,BuildKit; Layer Caching; Seccomp Profiles; Containerd,Original,1.0.0
kubernetes_orchestration_helm.pdf,77aa0d78c5a9b34f8556fe71f8da7ce83de41b34d69c27cc1770c18d4b63d9fa,Container Orchestration,Kubernetes,Production Blueprint,0.99,"Covers pods, deployments, statefulsets, ingress-nginx, RBAC, network policies, and Helm v3 packaging; strictly unmixed with Terraform cloud provisioning.",Platform Engineering,CRDs; Operators; HPA; CNI; CSI; Helm Charts; Kustomize,Original,1.0.0
terraform_opentofu_infrastructure.pdf,2e470655f30e541d015d4420d19673fb5595e74953cc98e8b148d846ef8e8df8,Infrastructure as Code,Terraform,Architecture Guide,0.99,"Focused strictly on declarative HCL2, state file locks, remote S3/DynamoDB backends, module composition, and drift detection; isolated from Kubernetes runtime management.",Cloud Infrastructure Engineering,State Locking; Workspace Management; Provider Schemas; OpenTofu,Original,1.0.0
ansible_configuration_management.pdf,041bc4dd9d7285970905478589a71467ce4349b018da96d4a1c6af5447d0a7d8,Configuration Management,Ansible,Automation Playbook,0.98,"Covers idempotent playbooks, roles, inventory management, Ansible Vault secrets, and Jinja2 templating; strictly unmixed with base Linux kernel topics.",Systems Automation,Ansible Vault; Custom Modules; Dynamic Inventory; Idempotency,Original,1.0.0
enterprise_cicd_pipelines.pdf,bbbf8fa9729d66442bd779df792f56af8a4fa1d6991a6c2302aab2e59acbfb4f,Continuous Integration & Delivery,Jenkins & GitHub Actions,Pipeline Reference,0.98,"Details declarative pipeline syntax, matrix builds, artifact archiving with Nexus, SonarQube quality gates, and git-triggered release webhooks.",Release Engineering,Distributed Agents; Pipeline as Code; Secret Masking; Release Gates,Original,1.0.0
observability_prometheus_grafana.pdf,51ae5fec50a3f44de84b10881550afe6b791a37562437b19bc666da3a8fc0271,Monitoring & Observability,Prometheus & Grafana,SRE Runbook,0.99,"Covers metric types (Counter, Gauge, Histogram), PromQL vector calculations, Alertmanager routing, Grafana dashboards, and four golden signals.",Site Reliability Engineering,PromQL; Alertmanager Rules; Service Level Objectives (SLOs); Node Exporter,Original,1.0.0
aws_cloud_architecture_blueprints.pdf,5cb736626e26e1fbf57b835286d72c2b176a5f17c919fde511ddd1bfa20f26b7,Cloud Infrastructure,AWS,Architecture Specification,0.98,"Details multi-tier VPC topology, NAT Gateways, EC2 Auto Scaling, IAM least privilege policies, S3 lifecycle policies, and AWS Well-Architected Framework.",Cloud Solutions Architecture,VPC Peering; Security Groups; Route53; KMS Encryption; CloudWatch,Original,1.0.0
sre_production_incident_handbook.pdf,1b5c3b9cc6549c5c5b237dfde12ede7333bae51044d222b772dc7cce545f2c9e,Production Operations,SRE Runbook,Incident Response Manual,0.99,"Provides formal on-call triage protocols, MTTR minimization procedures, blameless postmortem templates, and failure domain mitigation.",SRE On-Call Operations,MTTR Tracking; Root Cause Analysis; 5 Whys; Canary Rollback; PagerDuty Protocol,Original,1.0.0
DevOps_Complete_Master_Encyclopedia.pdf,737d13547f943a4cd62005698ce434ba4a4f44191bb24f079eb4f5af096c4d87,Comprehensive Compendium,Multi-Tool DevOps,Master Encyclopedia,0.96,Baseline multi-domain compendium cleanly demarcated into 12 distinct numbered modules with zero cross-module topic mixing.,Billinger Curriculum Committee,All 12 DevOps Domains across 6 Mastery Levels,Reference Baseline,2.9.0
