domain,category,content_type,level,id_or_title,detail
Linux Administration,Foundations,command_or_configuration_example,,auditctl -l,
Linux Administration,Foundations,command_or_configuration_example,,cd /var/log,
Linux Administration,Foundations,command_or_configuration_example,,chmod 640 file,
Linux Administration,Foundations,command_or_configuration_example,,df -h,
Linux Administration,Foundations,command_or_configuration_example,,du -sh /var/log/*,
Linux Administration,Foundations,command_or_configuration_example,,findmnt,
Linux Administration,Foundations,command_or_configuration_example,,iostat -xz 1,
Linux Administration,Foundations,command_or_configuration_example,,"journalctl -u nginx --since ""30 min ago""",
Linux Administration,Foundations,command_or_configuration_example,,ls -lah,
Linux Administration,Foundations,command_or_configuration_example,,pwd,
Linux Administration,Foundations,command_or_configuration_example,,sar -u 1 5,
Linux Administration,Foundations,command_or_configuration_example,,ss -tulpn,
Linux Administration,Foundations,command_or_configuration_example,,sysctl -a,
Linux Administration,Foundations,command_or_configuration_example,,systemd-analyze blame,
Linux Administration,Foundations,command_or_configuration_example,,top,
Linux Administration,Foundations,command_or_configuration_example,,vmstat 1,
Linux Administration,Foundations,company_workflow,Beginner,Beginner,"A junior engineer receives a ticket, connects to a non-production server, inspects the filesystem, applies an approved package or permission change, validates the service, and records evidence."
Linux Administration,Foundations,lesson,Beginner,Terminal Navigation,
Linux Administration,Foundations,lesson,Beginner,Files And Directories,
Linux Administration,Foundations,lesson,Beginner,Permissions And Ownership,
Linux Administration,Foundations,lesson,Beginner,Packages And Processes,
Linux Administration,Foundations,practice_lab,Beginner,linux-lab-1 — Beginner company lab,"Prepare a web-service account, directory structure, permissions, and a service health report."
Linux Administration,Foundations,company_workflow,Intermediate,Intermediate,"An engineer handles an alert by checking service state, reading recent logs, validating listening ports, confirming disk space, applying a reversible fix, and updating the incident ticket."
Linux Administration,Foundations,lesson,Intermediate,Systemd Services,
Linux Administration,Foundations,lesson,Intermediate,Journald And Log Analysis,
Linux Administration,Foundations,lesson,Intermediate,Storage And Mounts,
Linux Administration,Foundations,lesson,Intermediate,Network Diagnostics,
Linux Administration,Foundations,practice_lab,Intermediate,linux-lab-2 — Intermediate company lab,Troubleshoot a simulated service outage caused by a full filesystem and incorrect service configuration.
Linux Administration,Foundations,company_workflow,Advanced,Advanced,"A senior engineer reviews baseline metrics, identifies a bottleneck, tests changes in staging, uses configuration control, implements backup validation, and creates a rollback plan."
Linux Administration,Foundations,lesson,Advanced,Performance Tuning,
Linux Administration,Foundations,lesson,Advanced,Security Hardening,
Linux Administration,Foundations,lesson,Advanced,Backup And Recovery,
Linux Administration,Foundations,lesson,Advanced,Shell Automation,
Linux Administration,Foundations,practice_lab,Advanced,linux-lab-3 — Advanced company lab,Build a repeatable server-hardening and backup verification procedure with evidence.
Linux Administration,Foundations,company_workflow,Master,Master,"A platform lead defines fleet standards, automates compliance, establishes SLO-linked alerts, runs game days, and approves production changes through peer review."
Linux Administration,Foundations,lesson,Master,Fleet Standards,
Linux Administration,Foundations,lesson,Master,Capacity Engineering,
Linux Administration,Foundations,lesson,Master,Incident Command,
Linux Administration,Foundations,lesson,Master,Golden Images,
Linux Administration,Foundations,practice_lab,Master,linux-lab-4 — Master company lab,"Design a Linux operating model for 200 servers including patching, observability, security, backup, and disaster recovery."
Linux Administration,Foundations,company_ticket,Beginner,"BILL-0101 — Prepare a web-service account, directory structure, permissions, and a service health report","Prepare a web-service account, directory structure, permissions, and a service health report. Business impact: Internal team productivity"
Linux Administration,Foundations,company_ticket,Intermediate,BILL-0102 — Troubleshoot a simulated service outage caused by a full filesystem and incorrect service configuration,Troubleshoot a simulated service outage caused by a full filesystem and incorrect service configuration. Business impact: Staging reliability and release flow
Linux Administration,Foundations,company_ticket,Advanced,BILL-0103 — Build a repeatable server-hardening and backup verification procedure with evidence,Build a repeatable server-hardening and backup verification procedure with evidence. Business impact: Customer-facing production reliability
Linux Administration,Foundations,company_ticket,Master,"BILL-0104 — Design a Linux operating model for 200 servers including patching, observability, security, backup, and disaster recovery","Design a Linux operating model for 200 servers including patching, observability, security, backup, and disaster recovery. Business impact: Enterprise platform, governance, and business continuity"
Linux Administration,Foundations,production_incident,SEV-2,INC-001 — Production degradation involving Linux Administration,Build a repeatable server-hardening and backup verification procedure with evidence. Customer impact: Customer-facing production reliability
Linux Administration,Foundations,enterprise_capstone,Master,CAP-001 — Enterprise Linux Administration delivery project,"Design, implement, validate, secure, document, and operationalize a company-grade solution using Linux Administration as part of an end-to-end DevOps platform."
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,curl -vk https://service,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,"curl -w ""%{time_connect} %{time_starttransfer} %{time_total}\n"" -o NUL -s URL",
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,dig +trace example.com,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,dig SRV _service._tcp.example.com,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,ip addr,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,ip route,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,iperf3 -c host,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,mtr host,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,nslookup example.com,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,openssl s_client -connect host:443,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,ping -c 4 host,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,ss -s,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,tcpdump -w capture.pcap,
"Networking, DNS & HTTP",Foundations,command_or_configuration_example,,traceroute host,
"Networking, DNS & HTTP",Foundations,company_workflow,Beginner,Beginner,"A junior engineer verifies hostname resolution, checks reachability, tests the application port, and captures the exact error before escalation."
"Networking, DNS & HTTP",Foundations,lesson,Beginner,Ip Addressing,
"Networking, DNS & HTTP",Foundations,lesson,Beginner,Ports And Protocols,
"Networking, DNS & HTTP",Foundations,lesson,Beginner,Dns Basics,
"Networking, DNS & HTTP",Foundations,lesson,Beginner,Http Request-Response,
"Networking, DNS & HTTP",Foundations,practice_lab,Beginner,networking-lab-1 — Beginner company lab,Diagnose why a client can ping a server but cannot open the web application.
"Networking, DNS & HTTP",Foundations,company_workflow,Intermediate,Intermediate,"An engineer traces client-to-service traffic through DNS, firewall, load balancer, proxy, and application, validating each hop."
"Networking, DNS & HTTP",Foundations,lesson,Intermediate,Subnets And Routing,
"Networking, DNS & HTTP",Foundations,lesson,Intermediate,Firewalls And Nat,
"Networking, DNS & HTTP",Foundations,lesson,Intermediate,Tls Certificates,
"Networking, DNS & HTTP",Foundations,lesson,Intermediate,Reverse Proxies,
"Networking, DNS & HTTP",Foundations,practice_lab,Intermediate,networking-lab-2 — Intermediate company lab,Fix a reverse-proxy outage caused by a certificate and upstream routing mismatch.
"Networking, DNS & HTTP",Foundations,company_workflow,Advanced,Advanced,"A senior engineer compares healthy and unhealthy flows, examines packets and metrics, then implements least-privilege rules with staged rollout."
"Networking, DNS & HTTP",Foundations,lesson,Advanced,Load Balancing,
"Networking, DNS & HTTP",Foundations,lesson,Advanced,Service Discovery,
"Networking, DNS & HTTP",Foundations,lesson,Advanced,Network Policies,
