Resource ID,Volume/Label,Title,Placement,Verified Primary Tool,Previously Displayed Under,Removed Cross-Listings,Rationale,Confidence
vol-10a,10A,Volume 10A - CICD Foundations,tool,CI/CD Engineering,cicd; git,git,"This is the CI/CD foundations book. Git workflows are a chapter, not a separate Git-library placement.",High
vol-10b,10B,Volume 10B - Jenkins Enterprise Engineering,tool,Jenkins,jenkins; cicd,cicd,"The title, chapter sequence and dominant subject place this book under Jenkins. Other technologies are supporting context only.",High
vol-10c,10C,Volume 10C - GitHub Actions GitLab CICD,tool,GitHub Actions,github-actions; cicd; git,cicd; git,The dominant platforms are GitHub Actions and GitLab CI/CD; it is anchored under GitHub Actions and not duplicated under Git.,High
vol-10d,10D,Volume 10D - Kubernetes GitOps Progressive Delivery,tool,Kubernetes,kubernetes; cicd; git; system-design,cicd; git; system-design,The course is Kubernetes GitOps and progressive delivery; it belongs under Kubernetes.,High
vol-10e,10E,Volume 10E - DevSecOps Supply Chain Governance,tool,DevSecOps & Supply-Chain Security,devsecops; cicd; observability; system-design,cicd; observability; system-design,"The title, chapter sequence and dominant subject place this book under DevSecOps & Supply-Chain Security. Other technologies are supporting context only.",High
vol-10f,10F,Volume 10F - Enterprise Delivery Projects Interviews,tool,CI/CD Engineering,cicd; jenkins; github-actions; system-design,jenkins; github-actions; system-design,The course is enterprise delivery projects and interviews; it belongs under CI/CD Engineering.,High
vol-11a,11A,Volume 11A - Observability Foundations,tool,"Prometheus, Grafana & Observability",observability; logging; sre,logging; sre,"The title, chapter sequence and dominant subject place this book under Prometheus, Grafana & Observability. Other technologies are supporting context only.",High
vol-11b,11B,Volume 11B - Prometheus PromQL Alertmanager,tool,"Prometheus, Grafana & Observability",observability; sre,sre,"The title, chapter sequence and dominant subject place this book under Prometheus, Grafana & Observability. Other technologies are supporting context only.",High
vol-11c,11C,Volume 11C - Grafana Centralized Logging Loki Elastic OpenSearch,tool,Centralized Logging & OpenSearch/ELK,observability; logging,observability,"The dominant material is centralized logging with Loki, Elastic and OpenSearch; corrected from Observability to Centralized Logging.",High
vol-11d,11D,Volume 11D - OpenTelemetry Tracing APM Profiling eBPF,tool,"Prometheus, Grafana & Observability",observability; logging; sre,logging; sre,"The title, chapter sequence and dominant subject place this book under Prometheus, Grafana & Observability. Other technologies are supporting context only.",High
vol-11e,11E,Volume 11E - SRE Operations Incidents Capacity Reliability Governance,tool,SRE & Incident Management,sre; observability; system-design,observability; system-design,"The title, chapter sequence and dominant subject place this book under SRE & Incident Management. Other technologies are supporting context only.",High
vol-11f,11F,Volume 11F - Enterprise Observability SRE Projects Certifications Interviews Capstone,tool,"Prometheus, Grafana & Observability",observability; logging; sre; system-design,logging; sre; system-design,This is the observability/SRE capstone in the Volume 11 sequence; it is anchored under Observability once.,High
vol-12a,12A,Volume 12A - Multi Cloud Architecture Landing Zone Foundations,tool,System Design & Platform Engineering,system-design; aws; azure; gcp; terraform; devsecops,aws; azure; gcp; terraform; devsecops,"The book is multi-cloud architecture and landing-zone design, so it belongs under System Design rather than a single cloud.",High
vol-12b,12B,Volume 12B - AWS Enterprise Cloud Engineering,tool,AWS Cloud,aws; system-design,system-design,"The title, chapter sequence and dominant subject place this book under AWS Cloud. Other technologies are supporting context only.",High
vol-12c,12C,Volume 12C - Microsoft Azure Enterprise Cloud Engineering,tool,Microsoft Azure,azure; system-design,system-design,"The title, chapter sequence and dominant subject place this book under Microsoft Azure. Other technologies are supporting context only.",High
vol-12d,12D,Volume 12D - Google Cloud Enterprise Engineering,tool,Google Cloud Platform,gcp; system-design,system-design,"The title, chapter sequence and dominant subject place this book under Google Cloud Platform. Other technologies are supporting context only.",High
vol-12e,12E,Volume 12E - Hybrid & Multi Cloud Operations Migration DR Security & FinOps,tool,System Design & Platform Engineering,aws; azure; gcp; system-design; sre; devsecops,aws; azure; gcp; sre; devsecops,Corrected from AWS to System Design because the book is explicitly hybrid and multi-cloud operations.,High
vol-12f,12F,Volume 12F - Enterprise Cloud Projects Certifications Interviews & Final Capstone,tool,System Design & Platform Engineering,aws; azure; gcp; system-design; sre,aws; azure; gcp; sre,"Corrected from AWS to System Design because it covers enterprise cloud projects across AWS, Azure and GCP.",High
vol-13a,13A,Volume 13A - Platform Engineering Product Foundations,tool,System Design & Platform Engineering,system-design; cicd; sre,cicd; sre,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
vol-13b,13B,Volume 13B - Backstage Developer Portal Engineering,tool,System Design & Platform Engineering,system-design; cicd; github-actions,cicd; github-actions,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
vol-13c,13C,Volume 13C - Self Service Infrastructure & Platform Control Planes,tool,System Design & Platform Engineering,system-design; terraform; kubernetes,terraform; kubernetes,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
vol-13d,13D,Volume 13D - Golden Paths & Developer Experience,tool,System Design & Platform Engineering,system-design; cicd; github-actions,cicd; github-actions,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
vol-13e,13E,Volume 13E - Enterprise Platform Operations Governance & Scale,tool,System Design & Platform Engineering,system-design; sre; devsecops; observability,sre; devsecops; observability,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
vol-13f,13F,Volume 13F - Platform Engineering Projects Interviews & Final Capstone,tool,System Design & Platform Engineering,system-design; cicd; sre,cicd; sre,"The title, chapter sequence and dominant subject place this book under System Design & Platform Engineering. Other technologies are supporting context only.",High
